#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
2.666666667	0	30	60.21274	27.12379	0	0	7	52.698	257.595	34.477	0	0	258.5775	17047
2.677083333	0	30	62.42662	27.42295	0	0	7	54.391	241.096	32.832	0	0	246.23925	18755
2.6875	0	30	65.86786	28.33436	0	0	7	51.534	229.032	31.174	0	0	233.805	18708
2.697916667	0	30	65.61928	28.2787	0	0	7	51.376	223.134	30.501	0	0	228.75825	19125
2.708333333	0	30	64.00353	27.7082	0	0	7	49.002	219.893	29.877	0	0	224.079	18535
2.71875	0	30	59.54469	26.68548	0	0	7	47.53	219.462	29.666	0	0	222.4935	18029
2.729166667	0	30	58.34064	26.57068	0	0	7	46.263	216.778	29.227	0	0	219.201	17772
2.739583333	0	30	57.33857	26.62286	0	0	7	46.093	212.061	28.684	0	0	215.1285	18093
2.75	0	30	58.6902	27.4647	0	0	7	45.193	206.595	27.976	0	0	209.823	18205
2.760416667	0	30	60.46908	28.33436	0	0	7	44.76	204.573	27.704	0	0	207.77775	18209
2.770833333	0	30	63.25004	29.26664	0	0	7	44.379	203.012	27.488	0	0	206.15925	18193
2.78125	0	30	62.37225	30.63027	0	0	7	52.753	192.888	27.293	0	0	204.7005	22437
2.791666667	0	30	62.21689	30.58853	0	0	7	51.204	192.862	27.118	0	0	203.388	21842
2.802083333	0	30	62.01492	28.16043	0	0	7	52.676	203.001	28.409	0	0	213.0645	21390
